"DAY(date)","Measure Names","Measure Values"
2014-04-28 00:00:00,"home_page",646
2014-04-28 00:00:00,"login",701
2014-04-28 00:00:00,"message",433
2014-05-05 00:00:00,"home_page",972
2014-05-05 00:00:00,"login",1054
2014-05-05 00:00:00,"message",698
2014-05-12 00:00:00,"home_page",1015
2014-05-12 00:00:00,"login",1094
2014-05-12 00:00:00,"message",715
2014-05-19 00:00:00,"home_page",1056
2014-05-19 00:00:00,"login",1147
2014-05-19 00:00:00,"message",761
2014-05-26 00:00:00,"home_page",1034
2014-05-26 00:00:00,"login",1113
2014-05-26 00:00:00,"message",720
2014-06-02 00:00:00,"home_page",1089
2014-06-02 00:00:00,"login",1173
2014-06-02 00:00:00,"message",773
2014-06-09 00:00:00,"home_page",1116
2014-06-09 00:00:00,"login",1219
2014-06-09 00:00:00,"message",788
2014-06-16 00:00:00,"home_page",1164
2014-06-16 00:00:00,"login",1262
2014-06-16 00:00:00,"message",836
2014-06-23 00:00:00,"home_page",1158
2014-06-23 00:00:00,"login",1249
2014-06-23 00:00:00,"message",813
2014-06-30 00:00:00,"home_page",1177
2014-06-30 00:00:00,"login",1271
2014-06-30 00:00:00,"message",803
2014-07-07 00:00:00,"home_page",1270
2014-07-07 00:00:00,"login",1355
2014-07-07 00:00:00,"message",871
2014-07-14 00:00:00,"home_page",1243
2014-07-14 00:00:00,"login",1345
2014-07-14 00:00:00,"message",867
2014-07-21 00:00:00,"home_page",1246
2014-07-21 00:00:00,"login",1363
2014-07-21 00:00:00,"message",856
2014-07-28 00:00:00,"home_page",1341
2014-07-28 00:00:00,"login",1442
2014-07-28 00:00:00,"message",912
2014-08-04 00:00:00,"home_page",1169
2014-08-04 00:00:00,"login",1266
2014-08-04 00:00:00,"message",808
2014-08-11 00:00:00,"home_page",1111
2014-08-11 00:00:00,"login",1215
2014-08-11 00:00:00,"message",743
2014-08-18 00:00:00,"home_page",1101
2014-08-18 00:00:00,"login",1203
2014-08-18 00:00:00,"message",751
2014-08-25 00:00:00,"home_page",1100
2014-08-25 00:00:00,"login",1194
2014-08-25 00:00:00,"message",746
